route_name,bstop_arrive_time,bstop_leave_time,stop_time,node_name,node_x_pos,node_y_pos
399,20200104064514,20200104064542,29,시민회관 건너,128.74898,35.81906
991,20200104064517,20200104064529,13,대구농업마이스터고건너,128.70339,35.84131
399,20200104064524,20200104064541,18,하대정미소,128.80333,35.79797
399,20200104064535,20200104064543,9,고산역화성파크드림 건너,128.70049,35.84207
991,20200104064546,20200104064555,10,고산역화성파크드림 건너,128.70048,35.84208
399,20200104064548,20200104064622,35,계양시장,128.75134,35.81812
399,20200104064600,20200104064623,24,동부파출소,128.74827,35.82083
990,20200104064610,20200104064640,31,동부동행정복지센터,128.75488,35.82034
압량1,20200104064614,20200104064644,31,영남대 건너,128.7544,35.8374
399,20200104064621,20200104064637,17,하대리3(경산방향),128.80517,35.80069
399,20200104064631,20200104064707,38,고산2동행정복지센터앞,128.69548,35.84307
399,20200104064631,20200104064704,35,동부우체국(사동방향),128.75244,35.81749
991,20200104064702,20200104064716,15,고산2동행정복지센터앞,128.69544,35.84309
399,20200104064710,20200104064722,13,삼성현역사공원 건너,128.80303,35.80407
990,20200104064710,20200104064720,10,등기소,128.75907,35.8184
압량1,20200104064731,20200104064755,25,북부동행정복지센터 건너,128.74717,35.83424
399,20200104064734,20200104064741,7,고산농협창고건너,128.69024,35.84283
990,20200104064734,20200104064741,7,사동원룸단지(자인방향),128.76195,35.81715
399,20200104064740,20200104064754,15,사동우방A후문,128.75589,35.81623
399,20200104064742,20200104064758,17,인흥리,128.80123,35.80618
399,20200104064752,20200104064823,32,경산중고등학교 앞,128.74883,35.82275
399,20200104064753,20200104064816,23,월드컵삼거리앞,128.68687,35.84188
990,20200104064755,20200104064803,9,경북권역재활병원,128.76459,35.81615
991,20200104064757,20200104064806,10,고산농협창고건너,128.69018,35.84285
990,20200104064819,20200104064840,22,갑제삼거리(자인방향),128.76756,35.81557
991,20200104064825,20200104064833,9,월드컵삼거리앞,128.68685,35.84188
399,20200104064847,20200104064948,63,대공원역(1번출구),128.68108,35.84259
399,20200104064847,20200104064906,20,사동중,128.75764,35.81543
399,20200104064900,20200104064910,10,경산보건소,128.74414,35.82375
991,20200104064910,20200104064954,46,대공원역(1번출구),128.68122,35.84257
990,20200104064918,20200104064924,6,평산동(남성초등학교 건너),128.77373,35.81302
990,20200104064949,20200104064956,7,신천입구(자인방향),128.77941,35.81171
남산2,20200104065000,20200104065007,17,평사리1(대구대방향),128.86,35.88725
990,20200104065004,20200104065009,6,진못(자인방향),128.78207,35.81131
399,20200104065012,20200104065034,23,경남신성A 건너,128.72289,35.83247
399,20200104065024,20200104065030,7,연호동화훼단지2,128.67441,35.84537
990,20200104065032,20200104065036,5,남방(자인방향),128.78759,35.8112
남산2,20200104065034,20200104065056,22,평사리2(대구대방향),128.85929,35.88816
991,20200104065038,20200104065045,8,연호동화훼단지2,128.67444,35.84542
399,20200104065046,20200104065052,6,방공포병학교건너,128.67086,35.84716
399,20200104065046,20200104065111,25,사동부영1차A 건너,128.76117,35.81258
399,20200104065101,20200104065107,6,남방(경산방향),128.789,35.81134
399,20200104065103,20200104065127,25,경산시청별관(경산농협),128.74037,35.82397
399,20200104065107,20200104065116,9,서부2동행정복지센터 건너(옥산2지구),128.72464,35.82798
991,20200104065108,20200104065121,13,방공포병학교건너,128.67087,35.84718
압량1,20200104065112,20200104065123,11,임당역3번출구,128.74105,35.83392
399,20200104065118,20200104065123,6,담티고개2,128.66589,35.8507
990,20200104065122,20200104065127,6,당리리(자인방향),128.79815,35.81218
399,20200104065129,20200104065136,7,진못(경산방향),128.78438,35.81107
압량1,20200104065137,20200104065145,9,중방성당 앞,128.74111,35.8314
399,20200104065152,20200104065230,39,신천입구(경산방향),128.78089,35.81157
399,20200104065152,20200104065159,7,시립박물관 건너,128.76411,35.81327
